triple,truth
Nigel Cole isMarriedTo Kate Isitt,1
Véra Clouzot isMarriedTo Henri-Georges Clouzot,1
Norodom Sihanouk produced The Last Days of Colonel Savath,1
Farouk of Egypt isMarriedTo Farida of Egypt,1
Jacques Feyder isMarriedTo Françoise Rosay,1
Alex Chandon directed Chainsaw Scumfuck,1
Rita Wilson isMarriedTo Tom Hanks,1
Iain Softley directed Backbeat  film ,1
Lotte Reiniger directed The Adventures of Prince Achmed,1
Elmar Klos directed The Shop on Main Street,1
Ashton Kutcher isMarriedTo Demi Moore,1
Donald Knuth isKnownFor MMIX,1
Tony Bui produced Three Seasons,1
Denis Héroux created Naked Massacre,1
Alan Rudolph directed Love at Large,1
Arthur Rankin directed  Jr. The Mad  Mad  Mad Comedians,1
Riazuddin  physicist  livesIn Islamabad,1
Joseph Bonaparte isMarriedTo Julie Clary,1
Jean-Pierre Bekolo directed Les Saignantes,1
François Dupeyron directed The Officers' Ward  film ,1
Robert Sterling isMarriedTo Anne Jeffreys,1
Eleanor of Castile isMarriedTo Edward I of England,1
Rodney Dangerfield created Rover Dangerfield,1
Victor Salva directed Jeepers Creepers 2,1
Vlad III the Impaler isMarriedTo Ilona Szilágyi,1
Janelle Timmins isMarriedTo Allan Steiger,1
Gus Aitoro isMarriedTo Natalia Rivera Aitoro,1
Germaine of Foix isMarriedTo Ferdinand II of Aragon,1
King Vidor directed Our Daily Bread  1934 film ,1
Joke Silva isMarriedTo Olu Jacobs,1
Edna Manley isMarriedTo Norman Manley,1
Marshall Brickman created Simon  1980 film ,1
Trip Hawkins isKnownFor Electronic Arts,1
Tiberius isMarriedTo Julia the Elder,1
Frederick VIII of Denmark isMarriedTo Louise of Sweden,1
Arlene Alda isMarriedTo Alan Alda,1
Luis Bayón Herrera produced Jettatore,1
Arthur Rankin created  Jr. The Daydreamer,1
Ishirō Honda created Destroy All Monsters,1
Norodom Sihanouk created My Village at Sunset,1
Abel Gance directed Louise  film ,1
Prince Pedro Henrique of Orléans-Braganza isMarriedTo Princess Maria Elisabeth of Bavaria,1
Victor Salva created Jeepers Creepers 2,1
Rex Balsom isMarriedTo Jennifer Rappaport,1
Emilio Fernández directed La Choca,1
Emilio Fernández directed Siempre tuya,1
Fuad I of Egypt isMarriedTo Nazli Sabri,1
Janelle Timmins isMarriedTo Kim Timmins,1
Georg Balthasar Metzger hasAcademicAdvisor Johann Georg Macasius,1
Jessica Buchanan isMarriedTo Nash Brennan,1
John McCarthy  computer scientist  created Lisp  programming language ,1
David E. Durston directed I Drink Your Blood,1
Donald Knuth created MMIX,1
Jacques Feyder directed Le Grand Jeu  1934 film ,1
Paul Spence created FUBAR  film ,1
Grand Duke Michael Nikolaevich of Russia isMarriedTo Olga Feodorovna of Baden,1
Dave McKean directed MirrorMask,1
Cynthia Stone isMarriedTo Cliff Robertson,1
Joss Whedon created Goners,1
Frederick William IV of Prussia isMarriedTo Elisabeth Ludovika of Bavaria,1
Emilio Fernández directed Rosanna  film ,1
Ludovico Sforza isMarriedTo Beatrice d'Este,1
Warren Beatty actedIn Bulworth,1
Craig Ferguson actedIn I'll Be There  film ,1
Zhang Youyi isMarriedTo Xu Zhimo,1
Ronald Reagan isMarriedTo Jane Wyman,1
Michael Dowse directed Kids in America  2011 film ,1
Connie Booth isMarriedTo John Cleese,1
James Franklin  printer  isMarriedTo Ann Smith Franklin,1
John Cleese isMarriedTo Alyce Faye Eichelberger,1
Charlotte of Belgium isMarriedTo Maximilian I of Mexico,1
Rod Steiger isMarriedTo Claire Bloom,1
Warren Beatty created Love Affair  1994 film ,1
Leonid Trauberg directed The Youth of Maxim,1
Princess Märtha of Sweden isMarriedTo Olav V of Norway,1
Jeremy Sisto isMarriedTo Marisa Ryan,1
Mai Zetterling created Doctor Glas  film ,1
Anna Lee isMarriedTo Robert Stevenson  director ,1
Jaromil Jireš created The Cry  1963 film ,1
Jerzy Jurandot isMarriedTo Stefania Grodzieńska,1
Cleve Moler isKnownFor MATLAB,1
Jack Lemmon isMarriedTo Cynthia Stone,1
